PheWAS_ID,broad_catagory,category,phenotype,range_ID,sex,field_code,QC_flag_ID,QC_filter_values,first_last_max_min_value,date_code,age_code,case_code,control_code,exclude_case_control_crossover,included_in_analysis,quant_combination,primary_care_code_list,limits,lower_limit,upper_limit,transformation,analysis,age_col,pheno_group,short_desc,group_narrow,concept_name,concept_description,Notes
P2000,Phenotype,Composite_phenotype,Steven Johnson Syndrome,R_228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Steven Johnson Syndrome (CP),Safety,NA,NA,NA
P2001,Phenotype,Composite_phenotype,Toxic Epidermal Necrolysis,R_228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Toxic Epidermal Necrolysis (CP),Safety,NA,NA,NA
P2002,Phenotype,Composite_phenotype,Seizures,R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Seizures (CP),Safety,NA,NA,NA
P2003,Phenotype,Composite_phenotype,Stroke/Cerebrovascular events,R_91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Stroke/Cerebrovascular events (CP),Safety,NA,NA,NA
P2004,Phenotype,Composite_phenotype,Transient ischemic events,R_91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Transient ischemic events (CP),Safety,NA,NA,NA
P2005,Phenotype,Composite_phenotype,Suicide ideation/attempts,R_62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Suicide ideation/attempts (CP),Safety,NA,NA,NA
P2007.1,Phenotype,Composite_phenotype,Drug induced liver injury,R_118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Drug induced liver injury (CP),Safety,NA,NA,NA
P2007,Phenotype,Composite_phenotype,Liver failure,R_118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Liver failure (CP),Safety,NA,NA,NA
P2008,Phenotype,Composite_phenotype,Acute kidney injury,R_122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Acute kidney injury (CP),Safety,NA,NA,NA
P2009,Phenotype,Composite_phenotype,Prolonged QTc,R_89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Prolonged QTc (CP),Safety,NA,NA,NA
