Code,Description,Source,Decision
H3122,Acute exacerbation of chronic obstructive airways disease,V3,1
H3y0.,Chronic obstructive pulmonary disease with acute lower respiratory infection,V3,1
X101i,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",V3,1
Xa35l,Acute infective exacerbation of chronic obstructive airways disease,V3,1
XaZd1,Acute non-infective exacerbation of chronic obstructive pulmonary disease,V3,1
H3122,Acute exacerbation of chronic obstructive airways disease,V3,1
A0222,Salmonella pneumonia,V3,1
A116.,Tuberculous pneumonia,V3,1
A203.,Primary pneumonic plague,V3,1
A204.,Secondary pneumonic plague,V3,1
A205.,"Pneumonic plague, unspecified",V3,1
A33y.,Whooping cough - other specified organism,V3,1
A33yz,Other whooping cough NOS,V3,1
A33z.,Whooping cough NOS,V3,1
A3By1,Eaton's agent infection,V3,1
A3By4,Mycoplasmal pneumonia,V3,1
A73x.,Ornithosis with other specified complications,V3,1
A73y.,Ornithosis with unspecified complications,V3,1
A73z.,Unspecified Ornithosis,V3,1
AB30.,Primary pulmonary coccidioidomycosis,V3,1
AB405,Histoplasma capsulatum with pneumonia,V3,1
AB415,Pulmonary African histoplasmosis,V3,1
AB501,Primary pulmonary blastomycosis,V3,1
AB504,Acute pulmonary blastomycosis,V3,1
AB511,Pulmonary paracoccidioidomycosis,V3,1
AD04.,Toxoplasma pneumonitis,V3,1
Ayu39,[X]Whooping cough due to other Bordetella species,V3,1
Ayu3A,"[X]Whooping cough, unspecified",V3,1
G5203,Acute myocarditis - influenzal,V3,1
H06..,Acute bronchitis and bronchiolitis,V3,1
H060.,Acute bronchitis (& wheezy),V3,1
H0600,Acute fibrinous bronchitis,V3,1
H0601,Acute membranous bronchitis,V3,1
H0602,Acute pseudomembranous bronchitis,V3,1
H0603,Acute purulent bronchitis,V3,1
H0604,Acute croupous bronchitis,V3,1
H0606,Acute pneumococcal bronchitis,V3,1
H0607,Acute streptococcal bronchitis,V3,1
H0608,Acute haemophilus influenzae bronchitis,V3,1
H0609,Acute Neisseria catarrhalis bronchitis,V3,1
H060B,Acute coxsackievirus bronchitis,V3,1
H060C,Acute parainfluenza virus bronchitis,V3,1
H060D,Acute respiratory syncytial virus bronchitis,V3,1
H060E,Acute bronchitis due to rhinovirus,V3,1
H060F,Acute echovirus bronchitis,V3,1
H060v,Subacute bronchitis unspecified,V3,1
H060w,Acute viral bronchitis unspecified,V3,1
H060x,Acute bacterial bronchitis unspecified,V3,1
H060z,Acute bronchitis NOS,V3,1
H061.,Acute bronchiolitis,V3,1
H0610,Acute capillary bronchiolitis,V3,1
H0611,Acute obliterating bronchiolitis,V3,1
H0612,Acute bronchiolitis with bronchospasm,V3,1
H0613,Acute exudative bronchiolitis,V3,1
H0614,Obliterating fibrous bronchiolitis,V3,1
H0615,Acute bronchiolitis due to respiratory syncytial virus,V3,1
H061z,Acute bronchiolitis NOS,V3,1
H06z.,Acute bronchitis or bronchiolitis NOS,V3,1
H07..,Chest cold,V3,1
H20..,Viral pneumonia (& chest infection),V3,1
