Code,Description,Source,Decision
XaZd1,Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease),V3,1
XaJFu,Admit COPD emergency,V3,1
H3...,COPD - Chronic obstructive pulmonary disease,V3,1
H3122,Acute exacerbation of chronic obstructive airways disease,V3,1
Xa35l,Acute infective exacerbation of chronic obstructive airways disease,V3,1
XaIND,End stage chronic obstructive airways disease,V3,1
H3y0.,Chronic obstructive pulmonary disease with acute lower respiratory infection,V3,1
X101i,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",V3,1
H312z,Obstructive chronic bronchitis NOS,V3,1
H3y..,Other specified chronic obstructive airways disease,V3,1
XaN4a,Very severe chronic obstructive pulmonary disease,V3,1
XaEIY,Severe chronic obstructive pulmonary disease,V3,1
H32..,Emphysema,V3,1
XaKv8,Chronic obstructive pulmonary disease disturbs sleep,V3,1
XaKv9,Chronic obstructive pulmonary disease does not disturb sleep,V3,1
663K.,Airways obstructn irreversible,V3,1
H3z..,Chronic obstructive pulmonary disease NOS,V3,1
XaIQT,Chronic obstructive pulmonary disease monitoring,V3,1
XaIUt,Chronic obstructive pulmonary disease self-management plan given,V3,1
XaIet,Chronic obstructive pulmonary disease annual review,V3,1
XaIu7,Chronic obstructive pulmonary disease monitoring by nurse,V3,1
XaIu8,Chronic obstructive pulmonary disease monitoring by doctor,V3,1
XaRCG,Step down change in chronic obstructive pulmonary disease management plan,V3,1
XaRCH,Step up change in chronic obstructive pulmonary disease management plan,V3,1
XaXCa,Chronic obstructive pulmonary disease 3 monthly review,V3,1
XaXCb,Chronic obstructive pulmonary disease 6 monthly review,V3,1
XaavA,Shared care chronic obstructive pulmonary disease monitoring,V3,1
Xac8s,Telehealth chronic obstructive pulmonary disease monitoring,V3,1
XaEIW,Moderate chronic obstructive pulmonary disease,V3,1
XaEIV,Mild chronic obstructive pulmonary disease,V3,1
H322.,Centrilobular emphysema,V3,1
H3121,Emphysematous bronchitis,V3,1
XaIes,Chronic obstructive pulmonary disease follow-up,V3,1
XaJlS,Chronic obstructive pulmonary disease monitoring administration,V3,1
XaJlT,Chronic obstructive pulmonary disease monitoring 1st letter,V3,1
XaJlU,Chronic obstructive pulmonary disease monitoring 2nd letter,V3,1
XaJlV,Chronic obstructive pulmonary disease monitoring 3rd letter,V3,1
XaJlW,Chronic obstructive pulmonary disease monitoring verbal invite,V3,1
XaJlY,Chronic obstructive pulmonary disease monitoring phone invite,V3,1
H320z,Chronic bullous emphysema NOS,V3,1
H320.,Chronic bullous emphysema,V3,1
H3202,Giant bullous emphysema,V3,1
H3200,Segmental bullous emphysema,V3,1
H3201,Zonal bullous emphysema,V3,1
XE0YN,Bullous emphysema with collapse,V3,1
H32z.,Emphysema NOS,V3,1
XaIRO,Chronic obstructive pulmonary disease monitoring due,V3,1
XaLqj,Health education - chronic obstructive pulmonary disease,V3,1
H3122,Acute exacerbation of chronic obstructive airways disease,V2,1
8H2R.,Admit COPD emergency,V2,1
H3...,Chronic obstructive pulmonary disease,V2,1
H3A..,End stage chronic obstructive airways disease,V2,1
H3y0.,Chronic obstructive pulmonary disease with acute lower respiratory infection,V2,1
H3y1.,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",V2,1
H312z,Obstructive chronic bronchitis NOS,V2,1
H3y..,Other specified chronic obstructive airways disease,V2,1
H39..,Very severe chronic obstructive pulmonary disease,V2,1
H38..,Severe chronic obstructive pulmonary disease,V2,1
H32..,Emphysema,V2,1
66Yg.,Chronic obstructive pulmonary disease disturbs sleep,V2,1
66Yh.,Chronic obstructive pulmonary disease does not disturb sleep,V2,1
663K.,Airways obstructn irreversible,V2,1
H3z..,Chronic obstructive pulmonary disease NOS,V2,1
66YB.,Chronic obstructive pulmonary disease monitoring,V2,1
66YI.,Chronic obstructive pulmonary disease self-management plan given,V2,1
66YM.,Chronic obstructive pulmonary disease annual review,V2,1
