Code,Description,Source,Decision
43C3.,HIV positive,V3,1
X00cZ,HIV-associated retinitis,V3,1
X70O1,HIV - Human immunodeficiency virus infection wasting syndrome,V3,1
Xa1k1,HIV-related sclerosing cholangitis,V3,1
A7892,HIV disease resulting in candidiasis,V3,1
Xa1k3,HIV-related gut disease - cause unknown,V3,1
A7895,HIV disease resulting in Kaposi sarcoma,V3,1
AyuC2,[X]HIV disease resulting in other mycoses,V3,1
A7896,HIV disease resulting in Burkitt lymphoma,V3,1
X709a,HIV - Human immunodeficiency virus myopathy,V3,1
X001h,HIV - Human immunodeficiency virus myelitis,V3,1
X303J,HIV - Human immunodeficiency virus diarrhoea,V3,1
X70M6,HIV - Human immunodeficiency virus infection,V3,1
A7881,Asymptomatic human immunodeficiency virus infection,V3,1
A7880,Acute human immunodeficiency virus seroconversion illness,V3,1
XE0RX,Acquired immune deficiency syndrome,V3,1
X70O0,Acquired immune deficiency syndrome-related complex,V3,1
A7883,Human immunodeficiency virus infection constitutional disease,V3,1
X003P,Acquired immune deficiency syndrome dementia complex,V3,1
X001B,Human immunodefiency virus encephalitis,V3,1
X001C,Human immunodefiency virus leucoencephalopathy,V3,1
X70O5,Human immunodeficiency viral myelitis,V3,1
X30IP,Acquired immune deficiency syndrome-related nephropathy,V3,1
A7882,Human immunodeficiency virus infection with persistent generalised lymphadenopathy,V3,1
X20Q9,Human immunodeficiency virus-associated periodontitis,V3,1
X20QA,Acute necrotising ulcerative periodontitis,V3,1
X00B7,Neuropathy due to human immunodeficiency virus,V3,1
A7884,Human immunodeficiency virus with neurological disease,V3,0
A7885,Human immunodeficiency virus infection with secondary clinical infectious disease,V3,1
A7886,Human immunodeficiency virus with secondary cancers,V3,1
A788y,Human immunodeficiency virus with other clinical findings,V3,1
A788z,Acquired human immunodeficiency virus infection syndrome NOS,V3,1
A789.,Human immunodef virus resulting in other disease,V3,1
A7890,HIV disease resulting in mycobacterial infection,V3,1
A7891,HIV disease resulting in cytomegaloviral disease,V3,1
A7893,HIV disease resulting in Pneumocystis carinii pneumonia,V3,1
A7894,HIV disease resulting in multiple infections,V3,1
A7897,HIV disease resulting in other types of non-Hodgkin's lymphoma,V3,1
A7898,HIV disease resulting in multiple malignant neoplasms,V3,1
A7899,HIV disease resulting in lymphoid interstitial pneumonitis,V3,1
AyuC.,[X]Human immunodeficiency virus disease,V3,1
AyuC0,[X]HIV disease resulting in other bacterial infections,V3,1
AyuC1,[X]HIV disease resulting in other viral infections,V3,1
AyuC4,[X]Hiv disease resulting in other infectious and parasitic diseases,V3,1
AyuC5,[X]Hiv disease resulting in unspecified infectious and parasitic disease,V3,1
AyuC6,[X]HIV disease resulting in other non-Hodgkin's lymphoma,V3,1
AyuC7,"[X]Hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",V3,1
AyuC8,[X]HIV disease resulting in other malignant neoplasms,V3,1
AyuC9,[X]HIV disease resulting in unspecified malignant neoplasm,V3,1
AyuCA,[X]HIV disease resulting in multiple diseases classified elsewhere,V3,1
AyuCB,"[X]Hiv disease resulting in haematological and immunological abnormalities, not elsewhere classified",V3,1
AyuCC,[X]HIV disease resulting in other specified conditions,V3,1
AyuCD,[X]Unspecified human immunodeficiency virus [HIV] disease,V3,1
43C3.,HIV positive,V2,1
A79z.,Viral infection NOS,V2,1
A789A,HIV disease resulting in wasting syndrome,V2,1
J6618,Secondary sclerosing cholangitis,V2,1
A7892,HIV disease resulting in candidiasis,V2,1
J....,Digestive system diseases,V2,0
A7895,HIV disease resulting in Kaposi sarcoma,V2,1
AyuC2,[X]HIV disease resulting in other mycoses,V2,1
A7896,HIV disease resulting in Burkitt lymphoma,V2,1
Nyu8.,[X]Disorders of muscles,V2,0
A788.,Acquired immune deficiency syndrome,V2,1
A7881,Asymptomatic human immunodeficiency virus infection,V2,1
A7880,Acute human immunodeficiency virus infection,V2,1
A7883,Human immunodeficiency virus with constitutional disease,V2,1
Eu024,[X]Dementia in human immunodef virus [HIV] disease,V2,1
K072.,Glomerulosclerosis,V2,0
A7882,Human immunodeficiency virus infection with persistent generalised lymphadenopathy,V2,1
F367.,Peripheral neuropathy,V2,0
A7884,Human immunodeficiency virus with neurological disease,V2,0
