Code,Description,Source,Decision
Z85,Personal history of malignant neoplasm,ICD10,1
C44,Other malignant neoplasms of skin,ICD10,1
C50,Malignant neoplasm of breast,ICD10,1
Z858,Personal history of malignant neoplasms of other organs and systems,ICD10,1
Z853,Personal history of malignant neoplasm of breast,ICD10,1
C509,"Malignant neoplasm: Breast, unspecified",ICD10,1
C443,Malignant neoplasm: Skin of other and unspecified parts of face,ICD10,1
Z860,Personal history of other neoplasms,ICD10,1
C77,Secondary and unspecified malignant neoplasm of lymph nodes,ICD10,1
C78,Secondary malignant neoplasm of respiratory and digestive organs,ICD10,1
Z850,Personal history of malignant neoplasm of digestive organs,ICD10,1
Z854,Personal history of malignant neoplasm of genital organs,ICD10,1
C79,Secondary malignant neoplasm of other and unspecified sites,ICD10,1
D22,Melanocytic naevi,ICD10,1
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,ICD10,1
C18,Malignant neoplasm of colon,ICD10,1
Z855,Personal history of malignant neoplasm of urinary tract,ICD10,1
C795,Secondary malignant neoplasm of bone and bone marrow,ICD10,1
C34,Malignant neoplasm of bronchus and lung,ICD10,1
C780,Secondary malignant neoplasm of lung,ICD10,1
D69,Purpura and other haemorrhagic conditions,ICD10,1
C773,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,ICD10,1
C67,Malignant neoplasm of bladder,ICD10,1
C445,Malignant neoplasm: Skin of trunk,ICD10,1
C43,Malignant melanoma of skin,ICD10,1
C504,Malignant neoplasm: Upper-outer quadrant of breast,ICD10,1
C679,"Malignant neoplasm: Bladder, unspecified",ICD10,1
D05,Carcinoma in situ of breast,ICD10,1
D696,"Thrombocytopenia, unspecified",ICD10,1
C349,"Malignant neoplasm: Bronchus or lung, unspecified",ICD10,1
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,ICD10,1
C772,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,ICD10,1
C444,Malignant neoplasm: Skin of scalp and neck,ICD10,1
D18,"Haemangioma and lymphangioma, any site",ICD10,1
D180,"Haemangioma, any site",ICD10,1
C80,Malignant neoplasm without specification of site,ICD10,1
Z857,"Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues",ICD10,1
C446,"Malignant neoplasm: Skin of upper limb, including shoulder",ICD10,1
D223,Melanocytic naevi of other and unspecified parts of face,ICD10,1
D225,Melanocytic naevi of trunk,ICD10,1
C441,"Malignant neoplasm: Skin of eyelid, including canthus",ICD10,1
C54,Malignant neoplasm of corpus uteri,ICD10,1
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,ICD10,1
C541,Malignant neoplasm: Endometrium,ICD10,1
C771,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,ICD10,1
C187,Malignant neoplasm: Sigmoid colon,ICD10,1
C85,Other and unspecified types of non-Hodgkin lymphoma,ICD10,1
D051,Intraductal carcinoma in situ,ICD10,1
C341,"Malignant neoplasm: Upper lobe, bronchus or lung",ICD10,1
C447,"Malignant neoplasm: Skin of lower limb, including hip",ICD10,1
C442,Malignant neoplasm: Skin of ear and external auricular canal,ICD10,1
D68,Other coagulation defects,ICD10,1
C793,Secondary malignant neoplasm of brain and cerebral meninges,ICD10,1
D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",ICD10,1
C83,Non-follicular lymphoma,ICD10,1
C859,"Non-Hodgkin lymphoma, unspecified",ICD10,1
Z851,"Personal history of malignant neoplasm of trachea, bronchus and lung",ICD10,1
C798,Secondary malignant neoplasm of other specified sites,ICD10,1
D04,Carcinoma in situ of skin,ICD10,1
C189,"Malignant neoplasm: Colon, unspecified",ICD10,1
C15,Malignant neoplasm of oesophagus,ICD10,1
C770,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",ICD10,1
C25,Malignant neoplasm of pancreas,ICD10,1
D03,Melanoma in situ,ICD10,1
C782,Secondary malignant neoplasm of pleura,ICD10,1
D41,Neoplasm of uncertain or unknown behaviour of urinary organs,ICD10,1
D059,"Carcinoma in situ of breast, unspecified",ICD10,1
C90,Multiple myeloma and malignant plasma cell neoplasms,ICD10,1
D75,Other diseases of blood and blood-forming organs,ICD10,1
D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites,ICD10,1
C91,Lymphoid leukaemia,ICD10,1
C180,Malignant neoplasm: Caecum,ICD10,1
C343,"Malignant neoplasm: Lower lobe, bronchus or lung",ICD10,1
C900,Multiple myeloma,ICD10,1
Z031,Observation for suspected malignant neoplasm,ICD10,1
C16,Malignant neoplasm of stomach,ICD10,1
C833,Diffuse large B-cell lymphoma,ICD10,1
C502,Malignant neoplasm: Upper-inner quadrant of breast,ICD10,1
C159,"Malignant neoplasm: Oesophagus, unspecified",ICD10,1
D73,Diseases of spleen,ICD10,1
C435,Malignant neoplasm: Malignant melanoma of trunk,ICD10,1
D86,Sarcoidosis,ICD10,1
C437,"Malignant neoplasm: Malignant melanoma of lower limb, including hip",ICD10,1
C799,"Secondary malignant neoplasm, unspecified site",ICD10,1
C779,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",ICD10,1
C259,"Malignant neoplasm: Pancreas, unspecified",ICD10,1
D414,Neoplasm of uncertain or unknown behaviour: Bladder,ICD10,1
C911,Chronic lymphocytic leukaemia of B-cell type,ICD10,1
C71,Malignant neoplasm of brain,ICD10,1
Z85,Personal history of malignant neoplasm,MD,1
C44,Other malignant neoplasms of skin,MD,1
C50,Malignant neoplasm of breast,MD,1
Z858,Personal history of malignant neoplasms of other organs and systems,MD,1
Z853,Personal history of malignant neoplasm of breast,MD,1
C509,"Malignant neoplasm: Breast, unspecified",MD,1
C443,Malignant neoplasm: Skin of other and unspecified parts of face,MD,1
Z860,Personal history of other neoplasms,MD,1
C77,Secondary and unspecified malignant neoplasm of lymph nodes,MD,1
C78,Secondary malignant neoplasm of respiratory and digestive organs,MD,1
Z850,Personal history of malignant neoplasm of digestive organs,MD,1
Z854,Personal history of malignant neoplasm of genital organs,MD,1
C79,Secondary malignant neoplasm of other and unspecified sites,MD,1
D22,Melanocytic naevi,MD,1
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,MD,1
C18,Malignant neoplasm of colon,MD,1
Z855,Personal history of malignant neoplasm of urinary tract,MD,1
C795,Secondary malignant neoplasm of bone and bone marrow,MD,1
C34,Malignant neoplasm of bronchus and lung,MD,1
C780,Secondary malignant neoplasm of lung,MD,1
D69,Purpura and other haemorrhagic conditions,MD,1
C773,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,MD,1
C67,Malignant neoplasm of bladder,MD,1
C445,Malignant neoplasm: Skin of trunk,MD,1
C43,Malignant melanoma of skin,MD,1
C504,Malignant neoplasm: Upper-outer quadrant of breast,MD,1
C679,"Malignant neoplasm: Bladder, unspecified",MD,1
D05,Carcinoma in situ of breast,MD,1
D696,"Thrombocytopenia, unspecified",MD,1
C349,"Malignant neoplasm: Bronchus or lung, unspecified",MD,1
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,MD,1
C772,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,MD,1
C444,Malignant neoplasm: Skin of scalp and neck,MD,1
D18,"Haemangioma and lymphangioma, any site",MD,1
D180,"Haemangioma, any site",MD,1
C80,Malignant neoplasm without specification of site,MD,1
Z857,"Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues",MD,1
C446,"Malignant neoplasm: Skin of upper limb, including shoulder",MD,1
D223,Melanocytic naevi of other and unspecified parts of face,MD,1
D225,Melanocytic naevi of trunk,MD,1
C441,"Malignant neoplasm: Skin of eyelid, including canthus",MD,1
C54,Malignant neoplasm of corpus uteri,MD,1
D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,MD,1
C541,Malignant neoplasm: Endometrium,MD,1
C771,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,MD,1
