Code,Description,Source,Decision
SN50.,Anaphylactic shock,V3,1
X70vi,Venom-induced anaphylaxis,V3,1
X70vj,Bee sting-induced anaphylaxis,V3,1
X70vk,Wasp sting-induced anaphylaxis,V3,1
X70vl,Blood product-induced anaphylaxis,V3,1
X70vm,Food-induced anaphylaxis,V3,1
X70vn,Peanut-induced anaphylaxis,V3,1
X70vo,Seafood-induced anaphylaxis,V3,1
X70vp,Egg white-induced anaphylaxis,V3,1
X70vq,Cow's milk protein-induced anaphylaxis,V3,1
X70vr,Drug-induced anaphylaxis,V3,1
X70vs,Penicillin-induced anaphylaxis,V3,1
X70vt,Insulin-induced anaphylaxis,V3,1
X70vu,Human protein-induced anaphylaxis,V3,1
X70vv,Seminal fluid-induced anaphylaxis,V3,1
X70vw,Aeroallergen-induced anaphylaxis,V3,1
SP34.,Anaphylactic shock due to serum,V3,1
XE1BR,Anaphylactic urticaria,V3,1
XaL31,H/O: anaphylactic shock,V3,1
K0323,Anaphylactoid glomerulonephritis,V3,0
X70w8,Cholinergic anaphylactoid reaction,V3,0
X30Lt,Anaphylactoid reaction to dialysis,V3,0
XaZmp,Anaphylactoid reaction due to haemodialysis,V3,0
X70w1,Food-induced anaphylactoid reaction,V3,0
X70w2,Drug-induced anaphylactoid reaction,V3,0
X70w3,NSAID-induced anaphylactoid reaction,V3,0
X70w4,Aspirin-induced anaphylactoid reaction,V3,0
SN501,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,V3,1
X208h,Anaphylactoid shock,V3,0
X70vy,Blood and blood product-induced anaphylactoid reaction,V3,0
X70vz,Whole blood-induced anaphylactoid reaction,V3,0
X70w0,Immunoglobulin-induced anaphylactoid reaction,V3,0
X70w5,Ionic compound-induced anaphylactoid reaction,V3,0
X70w6,Dialysis membrane-induced anaphylactoid reaction,V3,0
X70w7,Exercise anaphylaxis,V3,1
D3100,Anaphylactoid purpura,V3,0
X7060,Post-infective Henoch-Schonlein purpura,V3,0
SN50.,Anaphylactic shock,V2,1
SN593,Anaphylactic shock due to bee sting,V2,1
SN594,Anaphylactic shock due to wasp sting,V2,1
