Code,Description,Source,Decision
XM0rV,Cerebral haemorrhage,V3,1
G617.,"Intracerebral haemorrhage, intraventricular",V3,1
Gyu6F,"[X]Intracerebral haemorrhage in hemisphere, unspecified",V3,1
XE0Wy,Cerebral haemorrhage NOS,V3,1
Xa41d,Fetal cerebral haemorrhage,V3,0
X00DM,Lobar cerebral haemorrhage,V3,1
Xa41Z,Cerebral haemorrhage - birth,V3,0
XE1m2,Traumatic cerebral haemorrhage,V3,0
XA0BG,Traumatic intracerebral haemorrhage,V3,0
S62z.,Cerebral haemorrhage following injury NOS,V3,0
S63..,Other cerebral haemorrhage following injury,V3,0
S631.,Other cerebral haemorrhage following injury with open intracranial wound,V3,0
S6310,"Other cerebral haemorrhage following injury with open intracranial wound, unspecified state of consciousness",V3,0
S6311,"Other cerebral haemorrhage following injury with open intracranial wound, with no loss of consciousness",V3,0
S6312,"Other cerebral haemorrhage following injury with open intracranial wound, with less than 1 hour loss of consciousness",V3,0
S6313,"Other cerebral haemorrhage following injury with open intracranial wound, with 1-24 hours loss of consciousness",V3,0
S6314,"Other cerebral haemorrhage following injury with open intracranial wound, with more than 24 hours loss of consciousness and return to pre-existing conscious level",V3,0
S6315,"Other cerebral haemorrhage following injury with open intracranial wound, with more than 24 hours loss of consciousness without return to pre-existing conscious level",V3,0
S6316,"Other cerebral haemorrhage following injury with open intracranial wound, with loss of consciousness of unspecified duration",V3,0
S631z,"Other cerebral haemorrhage following injury with open intracranial wound, with concussion, unspecified",V3,0
S63z.,Other cerebral haemorrhage following injury NOS,V3,0
XE1m5,Other cerebral haemorrhage following injury without mention of open intracranial wound,V3,0
S6300,"Other cerebral haemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",V3,0
S6301,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",V3,0
S6302,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with less than 1 hour loss of consciousness",V3,0
S6303,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with 1-24 hours loss of consciousness",V3,0
S6304,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with more than 24 hours loss of consciousness and return to pre-existing conscious level",V3,0
S6305,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with more than 24 hours loss of consciousness without return to pre-existing conscious level",V3,0
S6306,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",V3,0
S630z,"Other cerebral haemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",V3,0
XA0BB,Traumatic intracranial extradural haematoma,V3,0
S625.,Open traumatic extradural haemorrhage,V3,0
