Code,Description,Source,Decision
X40JY,Insulin-dependent diabetes mellitus secretory diarrhoea syndrome,V3,1
L1805,"Pre-existing diabetes mellitus, insulin-dependent",V3,1
L1806,"Pre-existing diabetes mellitus, non-insulin-dependent",V3,1
X40J7,Malnutrition-related diabetes mellitus,V3,1
X40J8,Malnutrition-related diabetes mellitus - fibrocalculous,V3,1
X40J9,Malnutrition-related diabetes mellitus - protein-deficient,V3,1
C10A0,Malnutrition-related diabetes mellitus with coma,V3,1
C10A1,Malnutrition-related diabetes mellitus with ketoacidosis,V3,1
C10A2,Malnutrition-related diabetes mellitus with renal complications,V3,1
C10A3,Malnutrition-related diabetes mellitus with ophthalmic complications,V3,1
C10A5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,V3,1
C10A4,Malnutrition-related diabetes mellitus with neurological complications,V3,1
C10A6,Malnutrition-related diabetes mellitus with multiple complications,V3,1
C10A7,Malnutrition-related diabetes mellitus without complications,V3,1
Cyu21,[X]Malnutrition-related diabetes mellitus with other specified complications,V3,1
Cyu22,[X]Malnutrition-related diabetes mellitus with unspecified complications,V3,1
L1807,Pre-existing malnutrition-related diabetes mellitus,V3,1
X40JA,Secondary diabetes mellitus,V3,1
C11y0,Steroid-induced diabetes,V3,1
XSETH,Maturity onset diabetes mellitus in young,V3,1
XacoB,Maturity onset diabetes of the young type 5,V3,1
X40Ja,Abnormal metabolic state in diabetes mellitus,V3,1
C101.,Diabetic ketoacidosis,V3,1
C101y,Other specified diabetes mellitus with ketoacidosis,V3,1
C101z,Diabetes mellitus NOS with ketoacidosis,V3,1
C103.,Diabetes mellitus with ketoacidotic coma,V3,1
C103z,Diabetes mellitus NOS with ketoacidotic coma,V3,1
Xa3ee,Diabetes with ketoacidosis - no coma,V3,1
XaCJ2,Diabetic hyperosmolar non-ketotic state,V3,1
X40Jb,Diabetic severe hyperglycaemia,V3,1
X40Jc,Poor glycaemic control,V3,1
66AJ0,Chronic hyperglycaemia,V3,0
X40Je,Acute hyperglycaemia,V3,0
C102.,Diabetes mellitus with hyperosmolar coma,V3,1
C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma",V3,1
C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma",V3,1
C102z,Diabetes mellitus NOS with hyperosmolar coma,V3,1
C103y,Other specified diabetes mellitus with coma,V3,1
C105.,Diabetes mellitus with ophthalmic manifestation,V3,1
C1050,"Diabetes mellitus, juvenile type, with ophthalmic manifestation",V3,1
C1051,"Diabetes mellitus, adult onset, with ophthalmic manifestation",V3,1
C105y,Other specified diabetes mellitus with ophthalmic complications,V3,1
C105z,Diabetes mellitus NOS with ophthalmic manifestation,V3,1
C108y,Other specified diabetes mellitus with multiple complications,V3,1
C108z,Unspecified diabetes mellitus with multiple complications,V3,1
C10y.,Diabetes mellitus with other specified manifestation,V3,1
C10y0,"Diabetes mellitus, juvenile type, with other specified manifestation",V3,1
C10y1,"Diabetes mellitus, adult onset, with other specified manifestation",V3,1
C10yz,Diabetes mellitus NOS with other specified manifestation,V3,1
C10yy,Other specified diabetes mellitus with other specified complications,V3,1
C10z.,Diabetes mellitus with unspecified complication,V3,1
C10z0,"Diabetes mellitus, juvenile type, with unspecified complication",V3,1
C10z1,"Diabetes mellitus, adult onset, with unspecified complication",V3,1
C10zy,Other specified diabetes mellitus with unspecified complications,V3,1
C10zz,Diabetes mellitus NOS with unspecified complication,V3,1
Cyu20,[X]Other specified diabetes mellitus,V3,1
Cyu23,[X]Unspecified diabetes mellitus with renal complications,V3,1
XE10E,"Diabetes mellitus, juvenile type, with no mention of complication",V3,1
XE10F,"Diabetes mellitus, adult onset, with no mention of complication",V3,1
XE10G,Diabetes mellitus with renal manifestation,V3,1
C1040,"Diabetes mellitus, juvenile type, with renal manifestation",V3,1
C1041,"Diabetes mellitus, adult onset, with renal manifestation",V3,1
C104y,Other specified diabetes mellitus with renal complications,V3,1
C104z,Diabetes mellitus with nephropathy NOS,V3,1
C1060,"Diabetes mellitus, juvenile type, with neurological manifestation",V3,1
XE10H,Diabetes mellitus with neurological manifestation,V3,1
C1061,"Diabetes mellitus, adult onset, with neurological manifestation",V3,1
C106y,Other specified diabetes mellitus with neurological complications,V3,1
C106z,Diabetes mellitus NOS with neurological manifestation,V3,1
XE10I,Diabetes mellitus with peripheral circulatory disorder,V3,1
C1070,"Diabetes mellitus, juvenile type, with peripheral circulatory disorder",V3,1
C1071,"Diabetes mellitus, adult onset, with peripheral circulatory disorder",V3,1
C1072,"Diabetes mellitus, adult with gangrene",V3,1
C1073,IDDM with peripheral circulatory disorder,V3,1
C107y,Other specified diabetes mellitus with peripheral circulatory complications,V3,1
C107z,Diabetes mellitus NOS with peripheral circulatory disorder,V3,1
XE12M,Diabetes with other complications,V3,1
XM1Qx,Diabetes mellitus with gangrene,V3,1
XM1Xk,Unstable diabetes,V3,1
X50GO,Soft tissue complication of diabetes mellitus,V3,1
X50GP,Diabetic dermopathy,V3,1
X50GQ,Diabetic bulla,V3,1
X50GR,Diabetic thick skin syndrome,V3,1
N0300,Diabetic hand syndrome,V3,1
X50GT,Diabetic rubeosis,V3,1
L1805,"Pre-existing diabetes mellitus, insulin-dependent",V2,1
C10A.,Malnutrition-related diabetes mellitus,V2,1
C10A0,Malnutrition-related diabetes mellitus with coma,V2,1
C10A1,Malnutrition-related diabetes mellitus with ketoacidosis,V2,1
C10A2,Malnutrition-related diabetes mellitus with renal complications,V2,1
C10A3,Malnutrition-related diabetes mellitus with ophthalmic complications,V2,1
C10A5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,V2,1
C10A4,Malnutrition-related diabetes mellitus with neurological complications,V2,1
C10A6,Malnutrition-related diabetes mellitus with multiple complications,V2,1
C10A7,Malnutrition-related diabetes mellitus without complications,V2,1
