Code,Description,Source,Decision
F25..,Epilepsy,V3,1
X005m,Localisation-related epilepsy,V3,1
Xa0lJ,Localisation-related idiopathic epilepsy,V3,1
XaOZG,Panayiotopoulos syndrome,V3,0
X005o,Benign childhood epilepsy with centrotemporal spike,V3,0
X005p,Benign frontal epilepsy of childhood,V3,0
X005q,Benign psychomotor epilepsy of childhood,V3,0
X005r,Benign atypical partial epilepsy in childhood,V3,0
X005s,Epilepsy with recurrent unilateral seizures in children,V3,0
X005t,Childhood epilepsy with occipital paroxysms,V3,1
X005u,Benign occipital epilepsy of childhood - early onset variant,V3,0
X005v,Benign occipital epilepsy of childhood - late onset variant,V3,0
X005w,Primary inherited reading epilepsy,V3,1
F257.,Kojevnikov's epilepsy,V3,0
X005x,Localisation-related symptomatic epilepsy,V3,1
F2540,Temporal lobe epilepsy,V3,1
X0060,Lateral temporal epilepsy,V3,1
X0061,Frontal lobe epilepsy,V3,1
X0062,Supplementary motor epilepsy,V3,1
X0064,Anterior frontopolar epilepsy,V3,1
X0065,Orbitofrontal epilepsy,V3,1
X0066,Dorsolateral epilepsy,V3,1
X0067,Opercular epilepsy,V3,1
XE15Z,Motor cortex epilepsy,V3,1
X0068,Non-progressive Kozhevnikow syndrome,V3,0
X0069,Parietal lobe epilepsy,V3,1
X006A,Occipital lobe epilepsy,V3,1
F2543,Mesiobasal limbic epilepsy,V3,1
X005z,Rhinencephalic epilepsy,V3,1
X0063,Cingulate epilepsy,V3,1
X005y,Amygdalo-hippocampal epilepsy,V3,1
X001S,Rasmussen syndrome,V3,0
X006C,Chronic progressive epilepsia partialis continua of childhood,V3,1
X006D,Localisation-related symptomatic epilepsy with specific precipitant,V3,1
X006E,Hemiplegia-hemiconvulsion-epilepsy syndrome,V3,1
X006F,Localisation-related cryptogenic epilepsy,V3,1
F254.,Partial epilepsy with impairment of consciousness,V3,1
F254z,Partial epilepsy with impairment of consciousness NOS,V3,1
XaJFI,Complex partial epileptic seizure,V3,1
F255z,Partial epilepsy without mention of impairment of consciousness NOS,V3,1
F2553,Partial epilepsy with autonomic symptoms,V3,1
F255y,Other specified partial epilepsy without mention of impairment of consciousness,V3,1
F25y2,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset,V3,1
XaB4R,Motor epilepsy,V3,1
XaB4S,"Jacksonian, focal or motor epilepsy",V3,1
XaB4T,Psychomotor epilepsy,V3,1
F2510,Generalised epilepsy,V3,1
XaQbJ,Petit mal (minor) epilepsy,V3,1
X006G,Idiopathic generalised epilepsy,V3,1
XaRGS,Childhood absence epilepsy,V3,1
X006H,Benign neonatal familial convulsions,V3,1
X006I,Benign non-familial neonatal convulsions,V3,1
F2511,Benign myoclonic epilepsy in infancy,V3,1
X006J,Myoclonic epilepsy of early childhood,V3,1
X006K,Juvenile absence epilepsy,V3,1
X006L,Juvenile myoclonic epilepsy,V3,1
X006M,Epilepsy with grand mal seizures on awakening,V3,1
X006N,Cryptogenic generalised epilepsy,V3,1
F256.,West syndrome,V3,1
X006O,Cryptogenic West syndrome,V3,1
X006P,Symptomatic West syndrome,V3,1
F256z,Infantile spasms NOS,V3,0
X006Q,Lennox-Gastaut syndrome,V3,1
X006R,Cryptogenic Lennox-Gastaut syndrome,V3,1
X006S,Symptomatic Lennox-Gastaut syndrome,V3,1
X006T,Myoclonic astatic epilepsy,V3,1
X006U,Myoclonic absence epilepsy,V3,1
XE15I,Progressive myoclonic epilepsy,V3,1
X006V,Unverricht-Lundborg syndrome,V3,1
X006X,Lafora disease,V3,1
X006Y,Myoclonic epilepsy - ragged red fibres,V3,1
F2513,Epileptic seizures - myoclonic,V3,1
X006Z,Cryptogenic myoclonic epilepsy,V3,1
X006a,Idiopathic myoclonic epilepsy,V3,1
X004s,Post-anoxic myoclonus,V3,0
X006c,Symptomatic generalised epilepsy,V3,1
X006d,Early myoclonic encephalopathy,V3,1
X006e,Early infantile epileptic encephalopathy with suppression bursts,V3,1
X006f,Symptomatic myoclonic epilepsy,V3,1
F1322,Myoclonic encephalopathy,V3,1
XaBM2,Grand mal seizure,V3,1
F250.,Generalised non-convulsive epilepsy,V3,1
F250y,Other specified generalised non-convulsive epilepsy,V3,1
F250z,Generalised non-convulsive epilepsy NOS,V3,1
F251.,Generalised convulsive epilepsy,V3,1
F251y,Other specified generalised convulsive epilepsy,V3,1
F251z,Generalised convulsive epilepsy NOS,V3,1
X006l,Epilepsy undetermined whether focal or generalised,V3,1
XaJgP,Stress-induced epilepsy,V3,1
X006t,Drug-induced epilepsy,V3,1
X006u,Alcohol-induced epilepsy,V3,1
X006v,Narcotic withdrawal epilepsy,V3,1
X006w,Menstrual epilepsy,V3,1
X006x,Nocturnal epilepsy,V3,1
X006y,Photosensitive epilepsy,V3,1
X006z,Epilepsy only in relation to photic stimulation,V3,1
X0070,Eyelid myoclonus with absences,V3,0
F2554,Visual reflex epilepsy,V3,1
X006s,Secondary reading epilepsy,V3,1
X0072,Writing epilepsy,V3,1
X0073,Musicogenic epilepsy,V3,1
X0074,Tactile epilepsy,V3,1
X0075,Eating epilepsy,V3,1
X0076,Tapping epilepsy,V3,1
X0077,Toothbrushing epilepsy,V3,1
X0078,Decision-making epilepsy,V3,1
