Code,Description,Source,Decision
N091.,Haemarthrosis,V3,1
Xa1jZ,Spontaneous haemarthrosis,V3,1
X701D,Traumatic joint haemarthrosis,V3,1
Xa1me,Traumatic haemarthrosis of the elbow joint,V3,1
Xa1mf,Traumatic haemarthrosis of the knee joint,V3,1
N0914,Haemarthrosis of the hand,V3,1
N091J,Haemarthrosis of DIP joint of finger,V3,1
N091G,Haemarthrosis of MCP joint,V3,1
N091H,Haemarthrosis of PIP joint of finger,V3,1
N091A,Haemarthrosis of shoulder joint,V3,1
N091B,Haemarthrosis of sternoclavicular joint,V3,1
N091C,Haemarthrosis of acromioclavicular joint,V3,1
N091E,Haemarthrosis of distal radioulnar joint,V3,1
N091F,Haemarthrosis of wrist,V3,1
N091D,Haemarthrosis of elbow,V3,1
N0919,Haemarthrosis of multiple joints,V3,1
N091L,Haemarthrosis of sacroiliac joint,V3,1
N091K,Haemarthrosis of hip,V3,1
N091P,Haemarthrosis of the ankle,V3,1
N091M,Haemarthrosis of knee,V3,1
N091R,Haemarthrosis of talonavicular joint,V3,1
N091N,Haemarthrosis of tibiofibular joint,V3,1
N091T,Haemarthrosis-1st metatarsophalangeal joint,V3,1
N091V,Haemarthrosis of interphalangeal joint of toe,V3,1
N0910,Haemarthrosis of unspecified site,V3,1
N0911,Haemarthrosis of the shoulder region,V3,1
N0918,Haemarthrosis of other specified site,V3,1
N091z,Haemarthrosis NOS,V3,1
XE1ES,Haemarthrosis of the upper arm,V3,1
XE1ET,Haemarthrosis of the forearm,V3,1
XE1EU,Haemarthrosis of the pelvic region and thigh,V3,1
XE1EW,Haemarthrosis of the ankle and foot,V3,1
N091Q,Haemarthrosis of subtalar joint,V3,1
N091S,Haemarthrosis of other tarsal joint,V3,1
N091U,Haemarthrosis of lesser metatarsophalangeal joint,V3,1
N091.,Haemarthrosis,V2,1
N090.,Effusion of joint,V2,0
N090M,Effusion of knee,V2,0
N0914,Haemarthrosis of the hand,V2,1
N091J,Haemarthrosis of DIP joint of finger,V2,1
N091G,Haemarthrosis of MCP joint,V2,1
N091H,Haemarthrosis of PIP joint of finger,V2,1
N091A,Haemarthrosis of shoulder,V2,1
N091B,Haemarthrosis of sternoclavicular joint,V2,1
N091C,Haemarthrosis of acromioclavicular joint,V2,1
N091E,Haemarthrosis of distal radio-ulnar joint,V2,1
N091F,Haemarthrosis of wrist,V2,1
N091D,Haemarthrosis of elbow,V2,1
N0919,Haemarthrosis of multiple joints,V2,1
N091L,Haemarthrosis of sacro-iliac joint,V2,1
N091K,Haemarthrosis of hip,V2,1
N091P,Haemarthrosis of ankle,V2,1
N091M,Haemarthrosis of knee,V2,1
N091R,Haemarthrosis of talonavicular joint,V2,1
N091N,Haemarthrosis of tibio-fibular joint,V2,1
N091T,Haemarthrosis-1st metatarsophalangeal joint,V2,1
N091V,Haemarthrosis of interphalangeal joint of toe,V2,1
N0910,Haemarthrosis of unspecified site,V2,1
