Code,Description,Source,Decision
F2620,Neuralgic migraine,V3,1
X007a,Chronic paroxysmal hemicrania,V3,1
X007W,Episodic cluster headache,V3,1
X007X,Chronic cluster headache,V3,1
X007Y,Chronic cluster headache unremitting from onset,V3,1
X007Z,Chronic cluster headache evolved from episodic cluster headache,V3,1
X007b,Atypical cluster headache,V3,1
XE0rh,Headache,V3,1
XaMIU,Increased frequency of headaches,V3,0
XE0s6,Frontal headache,V3,1
1BA8.,Temporal headache,V3,1
1BA7.,Parietal headache,V3,1
1BA6.,Occipital headache,V3,1
1BA2.,Generalised headache,V3,1
Xa0wU,Cervicogenic headache,V3,1
1B1G0,Sinus headache,V3,1
1B1G1,Viral headache,V3,1
1BA3.,Unilateral headache,V3,1
1BA4.,Bilateral headache,V3,1
1BAZ.,Headache site NOS,V3,1
1BB..,Headache character,V3,1
1BB1.,Aching headache,V3,1
1BB2.,Throbbing headache,V3,1
1BB3.,Shooting headache,V3,1
1BB4.,Morning headache,V3,1
1BBZ.,Headache character NOS,V3,1
1BB5.,Heavy head,V3,1
61461,Headache caused by oral contraceptive pill,V3,1
R040.,[D]Headache,V3,1
XE1Yl,Stress headache,V3,1
X007U,Episodic tension-type headache,V3,1
XaXsF,Frequent episodic tension-type headache,V3,1
XaXpZ,Infrequent episodic tension-type headache,V3,1
X007V,Chronic tension-type headache,V3,1
X007T,Muscular headache,V3,1
X007I,Headache disorder,V3,1
XaXrD,Paroxysmal hemicrania,V3,1
XaXsc,Trigeminal autonomic cephalalgia,V3,1
X007c,Chronic post-traumatic headache,V3,1
X007d,Low pressure headache,V3,1
X007h,Idiopathic stabbing headache,V3,1
X007e,Post dural puncture headache,V3,1
XE15e,Headache following lumbar puncture,V3,1
X007f,Headache following myelography,V3,1
L384.,Obstetric spinal and epidural anaesthesia-induced headache,V3,1
L3840,Spinal and epidural anaesthesia-induced headache during pregnancy,V3,1
L3841,Spinal and epidural anaesthesia-induced headache during the puerperium,V3,1
L387.,Spinal and epidural anaesthesia-induced headache during labour and delivery,V3,1
X007i,External compression headache,V3,1
X007j,Cold stimulus headache,V3,1
X007k,Benign cough headache,V3,1
X007l,Benign exertion headache,V3,1
X007m,Headache associated with sexual activity,V3,1
XaIsz,Benign coital headache,V3,1
X007o,Headache associated with substance abuse or withdrawal,V3,1
XaLSP,Medication overuse headache,V3,1
X007p,Hangover from alcohol,V3,0
X007n,Carotidynia,V3,1
F2611,Sick headache,V3,1
Fyu54,[X]Other specified headache syndromes,V3,1
Fyu5A,"[X]Vascular headache, not elsewhere classified",V3,1
Fyu5B,"[X]Drug-induced headache, not elsewhere classified",V3,1
K5A22,Menopausal headache,V3,1
XaQZd,Chronic headache disorder,V3,1
F2620,Cluster headache,V2,1
F2627,Chronic paroxysmal hemicrania,V2,1
1B1G.,Headache,V2,1
1BA5.,Frontal headache,V2,1
1BA8.,Temporal headache,V2,1
1BA7.,Parietal headache,V2,1
1BA6.,Occipital headache,V2,1
1BA2.,Generalised headache,V2,1
Fyu5D,[X]Cervicogenic headache,V2,1
1B1G0,Sinus headache,V2,1
1B1G1,Viral headache,V2,1
1BA3.,Unilateral headache,V2,1
1BA4.,Bilateral headache,V2,1
1BAZ.,Headache site NOS,V2,1
1BB..,Headache character,V2,1
1BB1.,Aching headache,V2,1
1BB2.,Throbbing headache,V2,1
1BB3.,Shooting headache,V2,1
1BB4.,Morning headache,V2,1
1BBZ.,Headache character NOS,V2,1
1BB5.,Heavy head,V2,1
61461,Headache caused by oral contraceptive pill,V2,1
R040.,[D]Headache,V2,1
