Code,Description,Source,Decision
XE0s9,Hearing loss,V3,1
X75qM,Dead ear,V3,1
1C131,Unilateral deafness,V3,1
1C132,Partial deafness,V3,1
1C133,Bilateral deafness,V3,1
X00kO,Chronic deafness,V3,1
XM0Cb,Deafness symptom,V3,1
F592.,Mixed hearing loss,V3,1
F5920,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",V3,1
F5921,"Mixed conductive and sensorineural hearing loss, bilateral",V3,1
XaXoh,No H/O hearing loss,V3,0
F5912,Neural hearing loss,V3,1
F5913,Central hearing loss,V3,1
F5911,Sensory hearing loss,V3,1
Xa0U4,Simulated hearing loss,V3,0
X00kW,Functional hearing loss,V3,1
E2012,Dissociative deafness,V3,1
XE17N,Perceptive hearing loss,V3,1
XaZuF,Mild sensorineural hearing loss,V3,1
XaZuE,Profound sensorineural hearing loss,V3,1
XaZuB,Severe sensorineural hearing loss,V3,1
XaZuA,Moderate sensorineural hearing loss,V3,1
X00kR,Dominant sensorineural hearing loss,V3,1
X00kS,X-linked sensorineural hearing loss,V3,1
X00kT,Recessive sensorineural hearing loss,V3,1
X00kU,Perinatal sensorineural hearing loss,V3,1
X00kV,Postnatal acquired sensorineural hearing loss,V3,0
F5801,Presbyacusis,V3,1
Xa0PN,Postoperative profound sensorineural hearing loss,V3,1
F5914,Congenital sensorineural deafness,V3,1
XaRE1,Congenital prelingual deafness,V3,1
XaOPs,Maternally inherited deafness,V3,1
F5910,Unspecified perceptive hearing loss,V3,1
F5916,"Sensorineural hearing loss, bilateral",V3,1
XaaLf,Bilateral profound sensorineural hearing loss,V3,1
XaaLg,Bilateral congenital sensorineural hearing loss,V3,1
F5917,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",V3,1
F591y,Combined perceptive hearing loss,V3,1
F591z,Perceptive hearing loss NOS,V3,1
X00kP,High frequency deafness,V3,1
X00kQ,Low frequency deafness,V3,1
XE17O,Ototoxicity - deafness,V3,1
XM1QG,Drug ototoxicity - deafness,V3,1
F590.,Conductive hearing loss,V3,1
F5900,Unspecified conductive hearing loss,V3,1
F5901,Conductive hearing loss due to disorder of external ear,V3,1
F5902,Conductive hearing loss due to disorder of tympanic membrane,V3,1
F5903,Conductive hearing loss due to disorder of middle ear,V3,1
F5904,Conductive hearing loss due to disorder of inner ear,V3,1
F5905,"Conductive hearing loss, bilateral",V3,1
F5906,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",V3,1
F590y,Combined conductive hearing loss,V3,1
F590z,Conductive hearing loss NOS,V3,1
XaRE2,Mild acquired hearing loss,V3,1
F5812,Noise-induced hearing loss,V3,1
XA06M,Noise-induced temporary threshold shift,V3,0
XA06N,Noise-induced permanent threshold shift,V3,0
XaRE4,Severe acquired hearing loss,V3,1
XaXfZ,Family history of hearing loss,V3,0
XaRE5,Profound acquired hearing loss,V3,1
XaRE3,Moderate acquired hearing loss,V3,1
F582.,Unspecified sudden hearing loss,V3,1
FyuU1,[X]Other specified hearing loss,V3,1
ZV192,[V]Family history of hearing loss,V3,1
XaXjZ,No family history of hearing loss,V3,1
Ub1SV,Voice associated with hearing loss,V3,0
Xabxq,Articulatory defect due to conductive hearing loss,V3,1
F59..,Hearing loss,V2,1
1C131,Unilateral deafness,V2,1
1C132,Partial deafness,V2,1
1C133,Bilateral deafness,V2,1
F59z.,Chronic deafness,V2,1
1C13.,Deafness symptom,V2,1
F592.,Mixed hearing loss,V2,1
F5920,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",V2,1
F5921,"Mixed conductive and sensorineural hearing loss, bilateral",V2,1
115..,No significant medical history,V2,0
F5912,Neural hearing loss,V2,1
F5913,Central hearing loss,V2,1
F5911,Sensory hearing loss,V2,1
Eu446,[X]Dissociative anaesthesia and sensory loss,V2,1
E2012,Hysterical deafness,V2,0
F591.,Perceptive hearing loss,V2,1
F591D,Mild sensorineural hearing loss,V2,1
F591B,Profound sensorineural hearing loss,V2,1
F591E,Severe sensorineural hearing loss,V2,1
F591C,Moderate sensorineural hearing loss,V2,1
F5801,Presbyacusis,V2,1
F5914,Congenital sensorineural deafness,V2,1
F5918,Congenital prelingual deafness,V2,1
F596.,Maternally inherited deafness,V2,1
F5910,Unspecified perceptive hearing loss,V2,1
F5916,"Sensorineural hearing loss, bilateral",V2,1
F5919,Bilateral profound sensorineural hearing loss,V2,1
F591A,Bilateral congenital sensorineural hearing loss,V2,1
F5917,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",V2,1
F591y,Combined perceptive hearing loss,V2,1
F591z,Perceptive hearing loss NOS,V2,1
F594.,High frequency deafness,V2,1
F595.,Low frequency deafness,V2,1
F5915,Ototoxicity - deafness,V2,1
F590.,Conductive hearing loss,V2,1
F5900,Unspecified conductive hearing loss,V2,1
F5901,Conductive hearing loss due to disorder of external ear,V2,1
F5902,Conductive hearing loss due to disorder of tympanic membrane,V2,1
F5903,Conductive hearing loss due to disorder of middle ear,V2,1
F5904,Conductive hearing loss due to disorder of inner ear,V2,1
F5905,"Conductive hearing loss, bilateral",V2,1
F5906,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",V2,1
F590y,Combined conductive hearing loss,V2,1
F590z,Conductive hearing loss NOS,V2,1
F597.,Mild acquired hearing loss,V2,1
F5812,Noise-induced hearing loss,V2,1
F599.,Severe acquired hearing loss,V2,1
12B..,FH: Ear disorder,V2,0
F59A.,Profound acquired hearing loss,V2,1
F598.,Moderate acquired hearing loss,V2,1
F582.,Unspecified sudden hearing loss,V2,1
FyuU1,[X]Other specified hearing loss,V2,1
