Code,Description,Source,Decision
X200E,Myocardial infarction,V3,1
XaIf1,First myocardial infarction,V3,1
XE0Uh,Acute myocardial infarction,V3,1
G307.,Acute subendocardial infarction,V3,1
G30y1,Acute papillary muscle infarction,V3,1
G30y2,Acute septal infarction,V3,1
Xa0YL,Acute anterior myocardial infarction,V3,1
XaD2d,Postoperative transmural myocardial infarction of anterior wall,V3,1
G300.,Acute anterolateral myocardial infarction,V3,1
X200I,Acute Q wave infarction - anterolateral,V3,1
X200J,Acute non-Q wave infarction - anterolateral,V3,1
G3011,Acute anteroseptal myocardial infarction,V3,1
X200G,Acute Q wave infarction - anteroseptal,V3,1
X200H,Acute non-Q wave infarction - anteroseptal,V3,1
G303.,Acute inferoposterior infarction,V3,1
X200K,Acute inferior myocardial infarction,V3,1
X200L,Acute Q wave infarction - inferior,V3,1
X200M,Acute non-Q wave infarction - inferior,V3,1
XaD2e,Postoperative transmural myocardial infarction of inferior wall,V3,1
G308.,Inferior myocardial infarction NOS,V3,1
G302.,Acute inferolateral myocardial infarction,V3,1
X200N,Acute Q wave infarction - inferolateral,V3,1
X200O,Acute non-Q wave infarction - inferolateral,V3,1
X200P,Acute lateral myocardial infarction,V3,1
X200Q,Acute Q wave infarction - lateral,V3,1
X200R,Acute non-Q wave infarction - lateral,V3,1
G305.,Lateral myocardial infarction NOS,V3,1
X200S,Acute widespread myocardial infarction,V3,1
X200T,Acute Q wave infarction - widespread,V3,1
X200U,Acute non-Q wave infarction - widespread,V3,1
X200V,Acute posterior myocardial infarction,V3,1
G304.,Posterior myocardial infarction NOS,V3,1
G306.,True posterior myocardial infarction,V3,1
XaAC3,Acute Q wave myocardial infarction,V3,1
XaAzi,Acute non-Q wave infarction,V3,1
XaIwM,Acute ST segment elevation myocardial infarction,V3,1
XaIwY,Acute non-ST segment elevation myocardial infarction,V3,1
G3010,Acute anteroapical infarction,V3,1
G30y.,Other acute myocardial infarction,V3,1
G30yz,Other acute myocardial infarction NOS,V3,1
G30y0,Acute atrial infarction,V3,1
G30z.,Acute myocardial infarction NOS,V3,1
Gyu34,[X]Acute transmural myocardial infarction of unspecified site,V3,1
XE2aA,Old myocardial infarction,V3,1
X200W,Old anterior myocardial infarction,V3,1
X200X,Old inferior myocardial infarction,V3,1
X200Y,Old lateral myocardial infarction,V3,1
X200Z,Old posterior myocardial infarction,V3,1
X200a,Silent myocardial infarction,V3,1
G35..,Subsequent myocardial infarction,V3,1
G350.,Subsequent myocardial infarction of anterior wall,V3,1
G351.,Subsequent myocardial infarction of inferior wall,V3,1
G353.,Subsequent myocardial infarction of other sites,V3,1
Gyu35,[X]Subsequent myocardial infarction of other sites,V3,1
Gyu36,[X]Subsequent myocardial infarction of unspecified site,V3,1
XaD2b,Postoperative myocardial infarction,V3,1
XaD2h,Postoperative subendocardial myocardial infarction,V3,1
XaD2f,Postoperative transmural myocardial infarction of other sites,V3,1
XaD2g,Postoperative transmural myocardial infarction of unspecified site,V3,1
XaD2i,"Postoperative myocardial infarction, unspecified",V3,1
G301.,Other specified anterior myocardial infarction,V3,1
G301z,Anterior myocardial infarction NOS,V3,1
XaEgZ,Non-Q wave myocardial infarction,V3,1
XE0oI,FH: Myocardial infarction,V3,0
XM1Jx,FH: Myocardial infarction at less than 60,V3,0
XM1Jy,FH: Myocardial infarction at greater than 60,V3,0
XaI9x,FH myocardial infarction male first degree age known,V3,0
XaI9y,FH myocardial infarction male first degree age unknown,V3,0
XaI9z,FH myocardial infarction female first degree age known,V3,0
XaIA0,FH myocardial infarction female first degree age unknown,V3,0
XaIya,FH: Myocardial infarct in 1st degree female relative <65 yrs,V3,0
XaIyb,FH: Myocardial infarct in 1st degree male relative <55 years,V3,0
XaQvx,Family history of myocardial infarction in second degree relative less than 50 years,V3,0
XaQvy,Family history of myocardial infarction in first degree relative less than 60 years,V3,0
323..,ECG: myocardial infarction,V3,1
3233.,ECG: anteroseptal infarction,V3,1
3234.,ECG:posterior/inferior infarct,V3,1
3235.,ECG: subendocardial infarct,V3,1
3236.,ECG: lateral infarction,V3,1
323Z.,ECG: myocardial infarct NOS,V3,1
XaQk7,History of myocardial infarction,V3,1
14A3.,H/O: myocardial infarct at less than 60,V3,1
14A4.,H/O: myocardial infarct at greater than 60,V3,1
XaBL1,H/O: Myocardial infarction in last year,V3,1
X200e,Cardiac rupture after acute myocardial infarction,V3,1
G363.,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,V3,1
G360.,Haemopericardium as current complication following acute myocardial infarction,V3,1
G3110,Coronary thrombosis not leading to myocardial infarction,V3,0
XaFx7,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,V3,1
X200d,Ventricular septal defect as current complication following acute myocardial infarction,V3,1
G364.,Rupture of chordae tendinae as current complication following acute myocardial infarction,V3,1
XaRFP,Excepted from myocardial infarction quality indicators: patient unsuitable,V3,1
XaRFL,Exception reporting: myocardial infarction quality indicators,V3,1
XaRFO,Excepted from myocardial infarction quality indicators: informed dissent,V3,1
XaaaE,TIMI (Thrombolysis In Myocardial Infarction) risk score for UA (unstable angina) or NSTEMI (non-ST-segment-elevation myocardial infarction),V3,0
Gyu31,[X]Other current complications following acute myocardial infarction,V3,1
G36..,Certain current complications following acute myocardial infarction,V3,1
G361.,Atrial septal defect as current complication following acute myocardial infarction,V3,1
G365.,Rupture of papillary muscle as current complication following acute myocardial infarction,V3,1
G30..,Acute myocardial infarction,V2,1
G307.,Acute subendocardial infarction,V2,1
G30y1,Acute papillary muscle infarction,V2,1
G30y2,Acute septal infarction,V2,1
G380.,Postoperative transmural myocardial infarction of anterior wall,V2,1
G300.,Acute anterolateral infarction,V2,1
G309.,Acute Q-wave infarct,V2,1
G3070,Acute non-Q wave infarction,V2,1
G3011,Acute anteroseptal infarction,V2,1
G303.,Acute inferoposterior infarction,V2,1
G308.,Inferior myocardial infarction NOS,V2,1
G381.,Postoperative transmural myocardial infarction of inferior wall,V2,1
G302.,Acute inferolateral infarction,V2,1
G305.,Lateral myocardial infarction NOS,V2,1
G304.,Posterior myocardial infarction NOS,V2,1
G306.,True posterior myocardial infarction,V2,1
G30X0,Acute ST segment elevation myocardial infarction,V2,1
G3071,Acute non-ST segment elevation myocardial infarction,V2,1
G3010,Acute anteroapical infarction,V2,1
G30y.,Other acute myocardial infarction,V2,1
G30yz,Other acute myocardial infarction NOS,V2,1
G30y0,Acute atrial infarction,V2,1
G30z.,Acute myocardial infarction NOS,V2,1
Gyu34,[X]Acute transmural myocardial infarction of unspecified site,V2,1
G32..,Old myocardial infarction,V2,1
G35..,Subsequent myocardial infarction,V2,1
G350.,Subsequent myocardial infarction of anterior wall,V2,1
G351.,Subsequent myocardial infarction of inferior wall,V2,1
G353.,Subsequent myocardial infarction of other sites,V2,1
Gyu35,[X]Subsequent myocardial infarction of other sites,V2,1
Gyu36,[X]Subsequent myocardial infarction of unspecified site,V2,1
G38..,Postoperative myocardial infarction,V2,1
G384.,Postoperative subendocardial myocardial infarction,V2,1
G382.,Postoperative transmural myocardial infarction of other sites,V2,1
G383.,Postoperative transmural myocardial infarction of unspecified site,V2,1
G38z.,"Postoperative myocardial infarction, unspecified",V2,1
G301.,Other specified anterior myocardial infarction,V2,1
G301z,Anterior myocardial infarction NOS,V2,1
12C5.,FH: Myocardial infarction,V2,0
12C2.,FH: Ischaemic heart dis. <60,V2,0
12C3.,FH: Ischaemic heart dis. >60,V2,0
12CA.,FH myocardial infarction male first degree age known,V2,0
12CB.,FH myocardial infarction male first degree age unknown,V2,0
12CC.,FH myocardial infarction female first degree age known,V2,0
12CD.,FH myocardial infarction female first degree age unknown,V2,0
12CN.,FH: Myocardial infarct in 1st degree female relative <65 yrs,V2,0
12CP.,FH: Myocardial infarct in 1st degree male relative <55 years,V2,0
323..,ECG: myocardial infarction,V2,1
3233.,ECG: antero-septal infarct.,V2,1
3234.,ECG:posterior/inferior infarct,V2,1
3235.,ECG: subendocardial infarct,V2,1
3236.,ECG: lateral infarction,V2,1
323Z.,ECG: myocardial infarct NOS,V2,1
14AT.,History of myocardial infarction,V2,1
14A3.,H/O: myocardial infarct <60,V2,1
14A4.,H/O: myocardial infarct >60,V2,1
