Code,Description,Source,Decision
K50,Crohn’s,ICD10,1
K500,Crohn's disease of small intestine,ICD10,1
K501,Crohn's disease of large intestine,ICD10,1
K508,Other Crohn's disease,ICD10,1
K509,"Crohn's disease, unspecified",ICD10,1
K51,UC,ICD10,1
K510,Ulcerative (chronic) enterocolitis,ICD10,1
K511,Ulcerative (chronic) ileocolitis,ICD10,1
K512,Ulcerative (chronic) proctitis,ICD10,1
K513,Ulcerative (chronic) rectosigmoiditis,ICD10,1
K514,Pseudopolyposis of colon,ICD10,1
K515,Mucosal proctocolitis,ICD10,1
K518,Other ulcerative colitis,ICD10,1
K519,"Ulcerative colitis, unspecified",ICD10,1
K52,Other and unspecified noninfective gastroenteritis and colitis,ICD10,1
K520,Gastroenteritis and colitis due to radiation,ICD10,1
K521,Toxic gastroenteritis and colitis,ICD10,1
K523,Indeterminate colitis,ICD10,1
K528,Other specified noninfective gastroenteritis and colitis,ICD10,1
K529,"Noninfective gastroenteritis and colitis, unspecified",ICD10,1
K550,Acute vascular disorders of intestine,ICD10,1
K551,Chronic vascular disorders of intestine,ICD10,1
K627,radiation proctitis,ICD10,1
K86,Other diseases of pancreas,ICD10,1
K860,Alcohol-induced chronic pancreatitis,ICD10,1
K861,Other chronic pancreatitis,ICD10,1
K862,Cyst of pancreas,ICD10,1
K863,Pseudocyst of pancreas,ICD10,1
K868,Other specified diseases of pancreas,ICD10,1
K869,"Disease of pancreas, unspecified",ICD10,1
K90,Intestinal malabsorption,ICD10,1
K900,Coeliac disease,ICD10,1
K901,Tropical sprue,ICD10,1
K903,Pancreatic steatorrhoea,ICD10,1
K904,"Malabsorption due to intolerance, not elsewhere classified",ICD10,1
K908,Other intestinal malabsorption,ICD10,1
K909,"Intestinal malabsorption, unspecified",ICD10,1
C15,Malignant neoplasm of esophagus,ICD10,1
C16,Malignant neoplasm of stomach,ICD10,1
C17,Malignant neoplasm of small intestine,ICD10,1
C18,Malignant neoplasm of colon,ICD10,1
C19,Malignant neoplasm of rectosigmoid junction,ICD10,1
C20,Malignant neoplasm of rectum,ICD10,1
C21,Malignant neoplasm of anus and anal canal,ICD10,1
C22,Malignant neoplasm of liver and intrahepatic bile ducts,ICD10,1
C23,Malignant neoplasm of gallbladder,ICD10,1
C24,Malignant neoplasm of other and unspecified parts of biliary tract,ICD10,1
C25,Malignant neoplasm of pancreas,ICD10,1
C26,Malignant neoplasm of other and ill-defined digestive organs,ICD10,1
K50,Crohn’s,MD,1
