read_code,term_description,status_flag,Decision
dq1..,LEVODOPA,0,1
dq11.,*LEVODOPA 125mg capsules,1,1
dq12.,*LEVODOPA 250mg capsules,1,1
dq13.,*LEVODOPA 500mg capsules,1,1
dq14.,*LEVODOPA 500mg tablets,1,1
dq15.,*BROCADOPA 125mg capsules,1,1
dq16.,*BROCADOPA 250mg capsules,1,1
dq17.,*BROCADOPA 500mg capsules,1,1
dq18.,*LARODOPA 500mg tablets,1,1
dq2..,LEVODOPA WITH BENSERAZIDE,0,1
dq21.,MADOPAR-62.5 capsules,0,1
dq22.,MADOPAR-125 capsules,0,1
dq23.,MADOPAR-250 capsules,0,1
dq24.,MADOPAR-62.5 dispersible tablets,0,1
dq25.,MADOPAR-125 dispersible tablets,0,1
dq26.,MADOPAR CR-125 m/r capsules,0,1
dq27.,CO-BENELDOPA 12.5/50 capsules,0,1
dq28.,CO-BENELDOPA 25/100 capsules,0,1
dq29.,CO-BENELDOPA 50/200 capsules,0,1
dq2a.,CO-BENELDOPA 12.5/50 dispersible tablets,0,1
dq2b.,CO-BENELDOPA 25/100 m/r capsules,0,1
dq2c.,CO-BENELDOPA 25/100 dispersible tablets,0,1
dq3..,LEVODOPA WITH CARBIDOPA,0,1
dq31.,SINEMET-110 tablets,0,1
dq32.,SINEMET-275 tablets,0,1
dq33.,SINEMET-PLUS tablets,0,1
dq34.,SINEMET LS tablets,0,1
dq35.,CO-CARELDOPA 12.5/50 tablets,0,1
dq36.,CO-CARELDOPA 10/100 tablets,0,1
dq37.,CO-CARELDOPA 25/100 tablets,0,1
dq38.,CO-CARELDOPA 25/250 tablets,0,1
dq39.,SINEMET CR m/r tablets,0,1
dq3a.,CO-CARELDOPA 50/200 m/r tablets,0,1
dq3A.,HALF-SINEMET CR m/r tablets,0,1
dq3b.,CO-CARELDOPA 25mg/100mg m/r tablets,0,1
dq3B.,STALEVO 50mg / 12.5mg / 200mg tablets,0,1
dq3c.,STANEK 175mg/43.75mg/200mg tablets,0,1
dq3C.,STALEVO 100mg / 25mg / 200mg tablets,0,1
dq3d.,STANEK 200mg/50mg/200mg tablets,0,1
dq3D.,STALEVO 150mg /37.5mg / 200mg tablets,0,1
dq3E.,TILOLEC 100mg/25mg m/r tablets,1,1
dq3F.,TILOLEC 200mg/50mg m/r tablets,0,1
dq3G.,DUODOPA 5mg/20mg/mL intestinal gel cassette 100mL,0,1
dq3H.,CARAMET CR 25mg/100mg m/r tablets,0,1
dq3I.,CARAMET CR 50mg/200mg m/r tablets,0,1
dq3J.,STALEVO 200mg/50mg/200mg tablets,0,1
dq3K.,STALEVO 125mg/31.25mg/200mg tablets,0,1
dq3L.,STALEVO 75mg/18.75mg/200mg tablets,0,1
dq3M.,STALEVO 175mg/43.75mg/200mg tablets,0,1
dq3N.,SASTRAVI 50mg/12.5mg/200mg tablets,0,1
dq3O.,SASTRAVI 75mg/18.75mg/200mg tablets,0,1
dq3P.,SASTRAVI 100mg/25mg/200mg tablets,0,1
dq3Q.,SASTRAVI 125mg/31.25mg/200mg tablets,0,1
dq3R.,SASTRAVI 150mg/37.5mg/200mg tablets,0,1
dq3s.,LEVODOPA 175mg/CARBIDOPA 43.75mg/ENTACAPONE 200mg tablets,0,1
dq3S.,SASTRAVI 175mg/43.75mg/200mg tablets,0,1
dq3t.,LEVODOPA 75mg/CARBIDOPA 18.75mg/ENTACAPONE 200mg tablets,0,1
dq3T.,SASTRAVI 200mg/50mg/200mg tablets,0,1
dq3u.,LEVODOPA 125mg/CARBIDOPA 31.25mg/ENTACAPONE 200mg tablets,0,1
dq3U.,STANEK 50mg/12.5mg/200mg tablets,0,1
dq3v.,LEVODOPA 200mg/CARBIDOPA 50mg/ENTACAPONE 200mg tablets,0,1
dq3V.,STANEK 75mg/18.75mg/200mg tablets,0,1
dq3w.,CO-CARELDOPA 5mg/20mg/mL intestinal gel casette 100mL,0,1
dq3x.,LEVODOPA 150mg / CARBIDOPA 37.5mg / ENTACAPONE 200mg tablets,0,1
dq3X.,STANEK 100mg/25mg/200mg tablets,0,1
dq3y.,LEVODOPA 100mg / CARBIDOPA 25mg / ENTACAPONE 200mg tablets,0,1
dq3Y.,STANEK 125mg/31.25mg/200mg tablets,0,1
dq3z.,LEVODOPA 50mg / CARBIDOPA 12.5mg / ENTACAPONE 200mg tablets,0,1
dq3Z.,STANEK 150mg/37.5mg/200mg tablets,0,1
dq4..,AMANTADINE HYDROCHLORIDE [PARKINSONS],0,1
dq41.,SYMMETREL [PARK] 100mg capsules,1,1
dq42.,SYMMETREL [PARK] 50mg/5mL syrup,1,1
dq43.,*MANTADINE 100mg capsules,1,1
dq44.,AMANTADINE HYDROCHLORIDE 50mg/5mL syrup,0,1
dq4z.,AMANTADINE HYDROCHLORIDE 100mg capsules,0,1
dq5..,BROMOCRIPTINE [PARKINSONS],0,1
dq51.,*PARLODEL [PARK] 1mg tablets,1,1
dq52.,*PARLODEL [PARK] 2.5mg tablets,1,1
dq53.,PARLODEL [PARK] 5mg capsules,0,1
dq54.,PARLODEL [PARK] 10mg capsules,0,1
dq55.,*PARLODEL STARTER,1,1
dq56.,BROMOCRIPTINE [PARK] 1mg tablets,0,1
dq57.,BROMOCRIPTINE [PARK] 5mg capsules,0,1
dq5y.,BROMOCRIPTINE 2.5mg tablets,0,1
dq5z.,BROMOCRIPTINE 10mg capsules,0,1
dq6..,SELEGILINE,0,1
dq61.,ELDEPRYL 5mg tablets,0,1
dq62.,ELDEPRYL 10mg tablets,0,1
dq63.,*ELDEPRYL 10mg/5mL syrup,1,1
dq64.,*VIVAPRYL 5mg tablets,1,1
dq65.,*VIVAPRYL 10mg tablets,1,1
dq66.,*STILLINE 5mg tablets,1,1
dq67.,*STILLINE 10mg tablets,1,1
dq68.,*CENTRAPRYL 5 tablets,1,1
dq69.,*CENTRAPRYL 10 tablets,1,1
dq6A.,ZELAPAR 1.25mg tablets,0,1
dq6w.,SELEGILINE HYDROCHLORIDE 1.25mg tablets,0,1
dq6x.,SELEGILINE HYDROCHLORIDE 10mg/5mL syrup,1,1
dq6y.,SELEGILINE HYDROCHLORIDE 10mg tablets,0,1
dq6z.,SELEGILINE HYDROCHLORIDE 5mg tablets,0,1
dq8..,PERGOLIDE MESYLATE,0,1
dq81.,PERGOLIDE 50micrograms tablets,0,1
dq82.,PERGOLIDE 250micrograms tablets,0,1
dq83.,PERGOLIDE 1mg tablets,0,1
dq84.,*CELANCE 50micrograms tablets,1,1
dq85.,*CELANCE 250micrograms tablets,1,1
dq86.,*CELANCE 1mg tablets,1,1
dq87.,CELANCE 50micrograms tablets starter pack,1,1
dq88.,PERGOLIDE 50micrograms tablets starter pack,1,1
dq89.,PERGOLIDE 50micrograms+250micrograms tablets starter pack,0,1
dq8A.,CELANCE 50micrograms+250micrograms tablets starter pack,1,1
