read_code,term_description,status_flag,Decision
fe61.,Prednisolone 1mg tablet,1,1
fe62.,Prednisolone 5mg tablet,1,1
fe64.,Delta-Phoricol 5mg tablet,1,1
fe65.,Deltacortril Enteric 2.5mg e/c tablet,1,1
fe66.,Deltacortril Enteric 5mg e/c tablet,1,1
fe67.,Deltalone 1mg tablet,1,1
fe68.,Deltalone 5mg tablet,1,1
fe69.,Deltastab 1mg tablet,1,1
fe6a.,Deltastab 5mg tablet,1,1
fe6c.,Precortisyl 1mg tablet,1,1
fe6d.,Precortisyl 5mg tablet,1,1
fe6e.,Precortisyl Forte 25mg tablet,1,1
fe6f.,Prednesol 5mg tablet,1,1
fe6g.,Sintisone 5mg tablet,1,1
fe6h.,Prednisolone 2.5mg e/c tablet,1,1
fe6i.,Prednisolone 5mg e/c tablet,1,1
fe6j.,Prednisolone 5mg soluble tablet,1,1
fe6k.,Prednisolone 50mg tablet,1,1
fe6v.,Prednisolone 2.5mg tablet,1,1
fe6z.,Prednisolone 25mg tablet,1,1
x00yP,Oral prednisolone,1,1
