Code,Description,Source,Decision
X00D1,Stroke,V3,1
Xa0kZ,Cerebral infarction,V3,1
X00D5,Anterior cerebral circulation infarction,V3,1
X00D6,Total anterior cerebral circulation infarction,V3,1
X00D7,Partial anterior cerebral circulation infarction,V3,1
X00D8,Posterior cerebral circulation infarction,V3,1
Xa00K,Brainstem infarction,V3,1
Xa00R,Top of basilar syndrome,V3,1
Xa00Q,Claude syndrome,V3,1
Xa00P,Weber syndrome,V3,1
Xa00O,Millard-Gubler syndrome,V3,1
Xa00N,Foville syndrome,V3,1
Xa00M,Wallenberg syndrome,V3,1
Xa00L,Benedict syndrome,V3,1
X00D9,Brainstem infarction NOS,V3,1
Xa00J,Cerebellar infarction,V3,1
Xa00I,Occipital cerebral infarction,V3,1
X00DA,Lacunar infarction,V3,1
XaQbM,Pure sensory lacunar syndrome,V3,1
XaQbK,Pure motor lacunar syndrome,V3,1
X00DB,Pure motor lacunar infarction,V3,1
X00DC,Pure sensory lacunar infarction,V3,1
X00DD,Pure sensorimotor lacunar infarction,V3,1
X00DE,Lacunar ataxic hemiparesis,V3,1
X00DF,Dysarthria-clumsy hand syndrome,V3,1
XaB4Z,Multiple lacunar infarcts,V3,1
X00DG,Multi-infarct state,V3,1
XaJgQ,Infarction of basal ganglia,V3,1
G6400,Cerebral infarction due to thrombosis of cerebral arteries,V3,1
G6410,Cerebral infarction due to embolism of cerebral arteries,V3,1
G6760,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",V3,1
Gyu63,[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,V3,1
Gyu64,[X]Other cerebral infarction,V3,1
Gyu6G,[X]Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,V3,1
X00D4,Infarction - precerebral,V3,1
G63y0,Cerebral infarct due to thrombosis of precerebral arteries,V3,1
G63y1,Cerebral infarction due to embolism of precerebral arteries,V3,1
XE0VJ,Cerebral infarction NOS,V3,1
XaBEC,Left sided cerebral infarction,V3,1
XaBED,Right sided cerebral infarction,V3,1
X00DI,Haemorrhagic cerebral infarction,V3,1
X00DJ,Anterior cerebral circulation haemorrhagic infarction,V3,1
X00DK,Posterior cerebral circulation haemorrhagic infarction,V3,1
XE0VF,Cerebral parenchymal haemorrhage,V3,1
X00DL,Massive supratentorial cerebral haemorrhage,V3,1
X00DM,Lobar cerebral haemorrhage,V3,1
X00DN,Subcortical cerebral haemorrhage,V3,1
X00DO,Thalamic haemorrhage,V3,1
G612.,Basal ganglia haemorrhage,V3,1
G611.,Internal capsule haemorrhage,V3,1
X00DP,Lacunar haemorrhage,V3,1
X00DQ,Brainstem haemorrhage,V3,1
