Code,Description,Source,Decision
Xa0kZ,Cerebral infarction,V3,1
X00D5,Anterior cerebral circulation infarction,V3,1
X00D6,Total anterior cerebral circulation infarction,V3,1
X00D7,Partial anterior cerebral circulation infarction,V3,1
X00D8,Posterior cerebral circulation infarction,V3,1
Xa00K,Brainstem infarction,V3,1
X00D9,Brainstem infarction NOS,V3,1
Xa00J,Cerebellar infarction,V3,1
Xa00I,Occipital cerebral infarction,V3,1
X00DA,Lacunar infarction,V3,1
X00DB,Pure motor lacunar infarction,V3,1
X00DC,Pure sensory lacunar infarction,V3,1
X00DD,Pure sensorimotor lacunar infarction,V3,1
XaB4Z,Multiple lacunar infarcts,V3,1
X00DG,Multi-infarct state,V3,1
XaJgQ,Infarction of basal ganglia,V3,1
G6400,Cerebral infarction due to thrombosis of cerebral arteries,V3,1
G6410,Cerebral infarction due to embolism of cerebral arteries,V3,1
G6760,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",V3,1
Gyu63,[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,V3,1
Gyu64,[X]Other cerebral infarction,V3,1
Gyu6G,[X]Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,V3,1
X00D4,Infarction - precerebral,V3,1
G63y0,Cerebral infarct due to thrombosis of precerebral arteries,V3,1
G63y1,Cerebral infarction due to embolism of precerebral arteries,V3,1
XE0VJ,Cerebral infarction NOS,V3,1
XaBEC,Left sided cerebral infarction,V3,1
XaBED,Right sided cerebral infarction,V3,1
X00D3,CVA - cerebrovascular accident due to cerebral artery occlusion,V3,1
G64..,Infarction - cerebral,V2,1
G64z0,Brainstem infarction,V2,1
1583,ischaemic stroke,SR,1
G64z4,Infarction of basal ganglia,V2,1
G6400,Cerebral infarction due to thrombosis of cerebral arteries,V2,1
G6410,Cerebral infarction due to embolism of cerebral arteries,V2,1
G6760,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",V2,1
Gyu63,[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,V2,1
Gyu64,[X]Other cerebral infarction,V2,1
Gyu6G,[X]Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,V2,1
G63..,Infarction - precerebral,V2,1
G63y0,Cerebral infarct due to thrombosis of precerebral arteries,V2,1
G63y1,Cerebral infarction due to embolism of precerebral arteries,V2,1
G64z2,Left sided cerebral infarction,V2,1
G64z3,Right sided cerebral infarction,V2,1
I639,"Cerebral infarction, unspecified",MD,1
I63,Cerebral infarction,MD,1
I638,Other cerebral infarction,MD,1
I668,Occlusion and stenosis of other cerebral artery,MD,0
I633,Cerebral infarction due to thrombosis of cerebral arteries,MD,1
I634,Cerebral infarction due to embolism of cerebral arteries,MD,1
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",MD,1
