Code,Description,Source,Decision
X79pf,Suicide,V3,1
XM0yp,Drug overdose - suicide,V3,1
1289.,FH: Suicide,V3,0
Ua1WE,Suicide risk,V3,0
XaZ8H,Suicide risk unchanged from previous level,V3,0
XaZ8G,Suicide risk increased from previous level,V3,0
XaIeX,Low suicide risk,V3,0
XaIeW,Moderate suicide risk,V3,0
XaIeV,High suicide risk,V3,1
Xa3FF,Threatening suicide,V3,1
Ua18F,Suicide attempt,V3,1
X75yS,Planning suicide,V3,1
Xa3jL,Suicide - hanging,V3,1
XM0jY,Suicide risk scale,V3,0
Ua1TL,Suicide prevention,V3,0
XaP7J,Suicide precautions,V3,0
Xa3jN,Suicide - drowning,V3,1
Xa3jO,Suicide - firearms,V3,1
Xa3jP,Suicide - cut/stab,V3,1
Xa3jK,Suicide - car exhaust,V3,1
Xa3jI,Attempted suicide NOS,V3,1
XE22H,Suicide and self harm,V3,1
TK0z.,Suicide and selfinflicted poisoning by solid and liquid substances NOS,V3,1
TK4..,Suicide and selfinflicted injury by drowning,V3,1
TK5..,Suicide or selfinflicted injury by firearms and explosives,V3,1
TK50.,Suicide or selfinflicted injury by handgun,V3,1
TK51.,Suicide or selfinflicted injury by shotgun,V3,1
TK52.,Suicide or selfinflicted injury by hunting rifle,V3,1
TK53.,Suicide or selfinflicted injury by military firearm,V3,1
TK54.,Suicide and selfinflicted injury by other firearm,V3,1
TK55.,Suicide or selfinflicted injury by explosives,V3,1
TK5z.,Suicide and selfinflicted injury by firearms and explosives NOS,V3,1
Xa3jF,Attempted suicide - firearms,V3,0
TK6..,Suicide or selfinflicted injury by cutting and stabbing,V3,1
TK60.,Suicide or selfinflicted injury by cutting,V3,1
TK601,Self inflicted lacerations to wrist,V3,1
TK61.,Suicide or selfinflicted injury by stabbing,V3,1
TK6z.,Suicide and selfinflicted injury by cutting and stabbing instruments NOS,V3,1
Xa3jG,Attempted suicide - cut/stab,V3,1
TK7..,Suicide or self injury by jumping from a height,V3,1
TK70.,Suicide and selfinflicted injury by jumping from residential premises,V3,1
TK71.,Suicide and selfinflicted injury by jumping from other man-made structure,V3,1
TK72.,Suicide and selfinflicted injury by jumping from natural sites,V3,1
TK7z.,Suicide and selfinflicted injury by jumping from high place NOS,V3,1
X71B6,Suicide or self injury by jumping from high man-made structure,V3,1
X71B7,Suicide or self injury by jumping from high building,V3,1
X71B8,Suicide or self injury by jumping from bridge,V3,1
X71B9,Suicide or self injury by jumping from high natural feature,V3,1
X71BA,Suicide or self injury by jumping off cliff,V3,1
Xa3jH,Attempted suicide - jumping from a high place,V3,1
Xa3jQ,Suicide - jumping from a high place,V3,1
TKx..,Suicide and selfinflicted injury by other means,V3,1
TKx0.,Suicide and selfinflicted injury by jumping or lying before moving object,V3,1
TKx00,Suicide and selfinflicted injury by jumping before moving object,V3,1
TKx01,Suicide and selfinflicted injury by lying before moving object,V3,1
TKx0z,Suicide and selfinflicted injury by jumping or lying before moving object NOS,V3,1
TKxy.,Suicide and selfinflicted injury by other specified means,V3,1
TKxz.,Suicide and selfinflicted injury by other means NOS,V3,1
TKx1.,Suicide or self injury by burning or fire,V3,1
TKx2.,Suicide or self injury by scalding,V3,1
X71BF,Suicide or self injury by igniting petrol soaked clothing,V3,1
X71BG,Suicide or self injury by arson,V3,1
X71BH,Self injury by cigarette burn,V3,1
XE22K,Self injury with external chemical burn,V3,1
TKx3.,Suicide or self injury by exposure to cold,V3,1
TKx4.,Suicide or self injury by electric current,V3,1
TKx7.,"Suicide and selfinflicted injury by caustic substances, excluding poisoning",V3,1
TKz..,Suicide and selfinflicted injury NOS,V3,1
Xa3jR,Suicide NOS,V3,1
X71B3,Self poisoning by gas,V3,1
TK1..,Suicide and selfinflicted poisoning by gases in domestic use,V3,1
TK10.,Suicide and selfinflicted poisoning by gas distributed by pipeline,V3,1
