Code,Description,Source,Decision
XE0VK,Transient ischaemic attack,V3,1
X00DU,Carotid territory transient ischaemic attack,V3,1
F4236,Amaurosis fugax,V3,1
G653.,Carotid artery syndrome hemispheric,V3,0
X00DV,Vertebrobasilar territory transient ischaemic attack,V3,1
X00DW,Vertebrobasilar insufficiency,V3,1
G650.,Basilar artery syndrome,V3,0
G651.,Vertebral artery syndrome,V3,0
G6510,Vertebrobasilar artery syndrome,V3,0
G652.,Subclavian steal syndrome,V3,0
Fyu55,[X]Other transient cerebral ischaemic attacks and related syndromes,V3,1
G654.,Multiple and bilateral precerebral artery syndromes,V3,0
G65y.,Other transient cerebral ischaemia,V3,1
G65z.,Transient cerebral ischaemia NOS,V3,1
G660.,Middle cerebral artery syndrome,V3,0
G661.,Anterior cerebral artery syndrome,V3,0
G662.,Posterior cerebral artery syndrome,V3,0
XaEGK,Transient ischaemic attacks,V3,1
X3068,Transient ischaemic colitis,V3,0
F5802,Transient ischaemic deafness,V3,0
XaFsH,Transient myocardial ischaemia,V3,0
XaXNG,Suspected transient ischaemic attack,V3,0
XaZp5,High risk of transient ischaemic attack,V3,0
Xa07k,Transient myocardial ischaemia of newborn,V3,0
XaRCF,Transient ischaemic attack monthly review,V3,1
XaJkS,Stroke / transient ischaemic attack referral,V3,0
12C7.,Family history of transient ischaemic attack,V3,0
XaXOh,Referral to transient ischaemic attack clinic,V3,0
XaX16,[V]Personal history of transient ischaemic attack,V3,1
XaJwA,Stroke/transient ischaemic attack monitoring status,V3,0
XaKcm,Stroke/transient ischaemic attack monitoring invitation,V3,0
XaJuU,Stroke/transient ischaemic attack monitoring first letter,V3,0
XaJuX,Stroke/transient ischaemic attack monitoring second letter,V3,0
XaKba,Stroke/transient ischaemic attack monitoring verbal invitation,V3,0
XaJuH,Stroke/transient ischaemic attack monitoring administration,V3,0
XaMGv,Stroke/transient ischaemic attack monitoring telephone invite,V3,0
XaZIY,H/O amaurosis fugax,V3,1
G65..,Transient ischaemic attack,V2,1
G657.,Carotid territory transient ischaemic attack,V2,1
F4236,Amaurosis fugax,V2,1
G653.,Carotid artery syndrome hemispheric,V2,0
G656.,Vertebrobasilar insufficiency,V2,0
G650.,Basilar artery syndrome,V2,0
G651.,Vertebral artery syndrome,V2,0
G6510,Vertebro-basilar artery syndrome,V2,0
G652.,Subclavian steal syndrome,V2,0
Fyu55,[X]Other transient cerebral ischaemic attacks and related syndromes,V2,1
G654.,Multiple and bilateral precerebral artery syndromes,V2,0
G65y.,Other transient cerebral ischaemia,V2,1
G65z.,Transient cerebral ischaemia NOS,V2,1
G660.,Middle cerebral artery syndrome,V2,0
G661.,Anterior cerebral artery syndrome,V2,0
G662.,Posterior cerebral artery syndrome,V2,0
J42z0,Ischaemic colitis NOS,V2,0
J437.,Colitis,V2,0
F5802,Transient ischaemic deafness,V2,0
G31y3,Transient myocardial ischaemia,V2,0
1JK..,Suspected transient ischaemic attack,V2,0
33BC.,Cardiovascular event risk,V2,0
Q494.,Transient myocardial ischaemia of newborn,V2,0
66f..,Cardiovascular disease monitoring,V2,0
8HBJ.,Stroke / transient ischaemic attack referral,V2,0
12C7.,Family history of transient ischaemic attack,V2,0
8HT..,Referral to clinic,V2,0
ZV12D,[V]Personal history of transient ischaemic attack,V2,1
9....,Administration,V2,0
9Om0.,Stroke/transient ischaemic attack monitoring first letter,V2,0
9Om1.,Stroke/transient ischaemic attack monitoring second letter,V2,0
