PheWAS_ID,phenotype,broad_category,range_ID,Case/control,Control_N,Case_N,C_1,N_1,G_1a,G_1b,CBB_1,CBA_1,O_1,OBB_1,OBA_1,C_2,N_2,G_2a,G_2b,CBB_2,CBA_2,O_2,OBB_2,OBA_2,C_3,N_3,G_3a,G_3b,CBB_3,CBA_3,O_3,OBB_3,OBA_3,C_4,N_4,G_4a,G_4b,CBB_4,CBA_4
P2017,Acute angle closure glaucoma,Phenotype,R_73,case,NA,case_1,C0001,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2017,Acute angle closure glaucoma,Phenotype,R_73,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0001,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2008,Acute kidney injury (CP),Phenotype,R_122,case,NA,case_1,C0002,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2008,Acute kidney injury (CP),Phenotype,R_122,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0002,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2021,Acute urinary retention (CP),Phenotype,R_127,case,NA,case_1,C0003,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2021,Acute urinary retention (CP),Phenotype,R_127,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0003,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2014,Agranulocytosis/neutropaenia,Phenotype,R_58,case,NA,case_1,C0004,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2014,Agranulocytosis/neutropaenia,Phenotype,R_58,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0004,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2025,Motor neuron disease,Phenotype,R_67,case,NA,case_1,C0006,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2025,Motor neuron disease,Phenotype,R_67,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0006,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
